Entry	Entry Name	Protein names	Gene Names	Taxonomic lineage	Organism	Organism (ID)	Gene Names (synonym)	Gene Names (primary)
Q9YGZ5	OPSD_SOLSO	Rhodopsin	rho	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Carangaria (clade), Pleuronectiformes (order), Pleuronectoidei (suborder), Soleidae (family), Solea (genus)	Solea solea (Common sole)	90069		rho
Q9YGZ6	OPSD_CHEAU	Rhodopsin	rho	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Ovalentaria (clade), Mugilomorphae (clade), Mugiliformes (order), Mugilidae (family), Chelon (genus)	Chelon auratus (Golden grey mullet) (Liza aurata)	48191		rho
Q9YGZ7	OPSD_CHESA	Rhodopsin	rho	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Ovalentaria (clade), Mugilomorphae (clade), Mugiliformes (order), Mugilidae (family), Chelon (genus)	Chelon saliens (Leaping mullet) (Liza saliens)	48192		rho
Q9YGZ8	OPSD_CHELB	Rhodopsin	rho	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Ovalentaria (clade), Mugilomorphae (clade), Mugiliformes (order), Mugilidae (family), Chelon (genus)	Chelon labrosus (Thicklip grey mullet) (Mugil chelo)	48171		rho
Q9YGZ9	OPSD_MUGCE	Rhodopsin	rho	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Ovalentaria (clade), Mugilomorphae (clade), Mugiliformes (order), Mugilidae (family), Mugil (genus)	Mugil cephalus (Flathead mullet) (Mugil japonicus)	48193		rho
Q9YH00	OPSD_LITMO	Rhodopsin	rho	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Eupercaria (clade), Spariformes (order), Sparidae (family), Lithognathus (genus)	Lithognathus mormyrus (Striped seabream) (Sparus mormyrus)	50591		rho
Q9YH01	OPSD_MULSU	Rhodopsin	rho	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Syngnathiaria (clade), Syngnathiformes (order), Mulloidea (suborder), Mullidae (family), Mullus (genus)	Mullus surmuletus (Striped red mullet)	87757		rho
Q9YH02	OPSD_SPAAU	Rhodopsin	rho	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Eupercaria (clade), Spariformes (order), Sparidae (family), Sparus (genus)	Sparus aurata (Gilthead sea bream)	8175		rho
Q9YH03	OPSD_SARSL	Rhodopsin	rho	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Eupercaria (clade), Spariformes (order), Sparidae (family), Sarpa (genus)	Sarpa salpa (Salema) (Sparus salpa)	87759		rho
Q9YH04	OPSD_DIPVU	Rhodopsin	rho	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Eupercaria (clade), Spariformes (order), Sparidae (family), Diplodus (genus)	Diplodus vulgaris (Common two-banded seabream) (Sargus vulgaris)	87756		rho
Q9YH05	OPSD_DIPAN	Rhodopsin	rho	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Eupercaria (clade), Spariformes (order), Sparidae (family), Diplodus (genus)	Diplodus annularis (Annular seabream) (Sparus annularis)	48913		rho
Q9ZS62	PHYB1_SOLLC	Phytochrome B1	PHYB1	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), lamiids (clade), Solanales (order), Solanaceae (family), Solanoideae (subfamily), Solaneae (tribe), Solanum (genus), Solanum subgen. Lycopersicon (subgenus)	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	4081		PHYB1
A0A075B5G2	PHEB_HEMVI	Phycoerythrin beta subunit	cpeB	cellular organisms (no rank), Eukaryota (superkingdom), Cryptophyceae (class), Cryptomonadales (order), Hemiselmidaceae (family), Hemiselmis (genus)	Hemiselmis virescens	77927		cpeB
A0A330	PSBD_COFAR	Photosystem II D2 protein (PSII D2 protein) (EC 1.10.3.9) (Photosystem Q(A) protein)	psbD	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), lamiids (clade), Gentianales (order), Rubiaceae (family), Ixoroideae (subfamily), Gardenieae complex (clade), Bertiereae - Coffeeae clade (clade), Coffeeae (tribe), Coffea (genus)	Coffea arabica (Arabian coffee)	13443		psbD
A0A331	PSBC_COFAR	Photosystem II CP43 reaction center protein (PSII 43 kDa protein) (Protein CP-43)	psbC	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), lamiids (clade), Gentianales (order), Rubiaceae (family), Ixoroideae (subfamily), Gardenieae complex (clade), Bertiereae - Coffeeae clade (clade), Coffeeae (tribe), Coffea (genus)	Coffea arabica (Arabian coffee)	13443		psbC
A0A334	PSAB_COFAR	Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PSI-B) (PsaB)	psaB	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), lamiids (clade), Gentianales (order), Rubiaceae (family), Ixoroideae (subfamily), Gardenieae complex (clade), Bertiereae - Coffeeae clade (clade), Coffeeae (tribe), Coffea (genus)	Coffea arabica (Arabian coffee)	13443		psaB
A0A335	PSAA_COFAR	Photosystem I P700 chlorophyll a apoprotein A1 (EC 1.97.1.12) (PSI-A) (PsaA)	psaA	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), lamiids (clade), Gentianales (order), Rubiaceae (family), Ixoroideae (subfamily), Gardenieae complex (clade), Bertiereae - Coffeeae clade (clade), Coffeeae (tribe), Coffea (genus)	Coffea arabica (Arabian coffee)	13443		psaA
A0T097	PSBD_PHATC	Photosystem II D2 protein (PSII D2 protein) (EC 1.10.3.9) (Photosystem Q(A) protein)	psbD	cellular organisms (no rank), Eukaryota (superkingdom), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Bacillariophyceae (class), Bacillariophycidae (clade), Naviculales (order), Phaeodactylaceae (family), Phaeodactylum (genus), Phaeodactylum tricornutum (species)	Phaeodactylum tricornutum (strain CCAP 1055/1)	556484		psbD
A0T0L9	PSAA_PHATC	Photosystem I P700 chlorophyll a apoprotein A1 (EC 1.97.1.12) (PSI-A) (PsaA)	psaA	cellular organisms (no rank), Eukaryota (superkingdom), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Bacillariophyceae (class), Bacillariophycidae (clade), Naviculales (order), Phaeodactylaceae (family), Phaeodactylum (genus), Phaeodactylum tricornutum (species)	Phaeodactylum tricornutum (strain CCAP 1055/1)	556484		psaA
A0T0M7	PSAB_PHATC	Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PSI-B) (PsaB)	psaB	cellular organisms (no rank), Eukaryota (superkingdom), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Bacillariophyceae (class), Bacillariophycidae (clade), Naviculales (order), Phaeodactylaceae (family), Phaeodactylum (genus), Phaeodactylum tricornutum (species)	Phaeodactylum tricornutum (strain CCAP 1055/1)	556484		psaB
A0T0M8	PSAA_THAPS	Photosystem I P700 chlorophyll a apoprotein A1 (EC 1.97.1.12) (PSI-A) (PsaA)	psaA	cellular organisms (no rank), Eukaryota (superkingdom), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Coscinodiscophyceae (class), Thalassiosirophycidae (subclass), Thalassiosirales (order), Thalassiosiraceae (family), Thalassiosira (genus)	Thalassiosira pseudonana (Marine diatom) (Cyclotella nana)	35128		psaA
A0T0M9	PSAB_THAPS	Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PSI-B) (PsaB)	psaB	cellular organisms (no rank), Eukaryota (superkingdom), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Coscinodiscophyceae (class), Thalassiosirophycidae (subclass), Thalassiosirales (order), Thalassiosiraceae (family), Thalassiosira (genus)	Thalassiosira pseudonana (Marine diatom) (Cyclotella nana)	35128		psaB
A0T0T0	PSBD_THAPS	Photosystem II D2 protein (PSII D2 protein) (EC 1.10.3.9) (Photosystem Q(A) protein)	psbD	cellular organisms (no rank), Eukaryota (superkingdom), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Coscinodiscophyceae (class), Thalassiosirophycidae (subclass), Thalassiosirales (order), Thalassiosiraceae (family), Thalassiosira (genus)	Thalassiosira pseudonana (Marine diatom) (Cyclotella nana)	35128		psbD
A0ZZ30	PSBD_GOSBA	Photosystem II D2 protein (PSII D2 protein) (EC 1.10.3.9) (Photosystem Q(A) protein)	psbD	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), malvids (clade), Malvales (order), Malvaceae (family), Malvoideae (subfamily), Gossypium (genus)	Gossypium barbadense (Sea-island cotton) (Egyptian cotton)	3634		psbD
A0ZZ31	PSBC_GOSBA	Photosystem II CP43 reaction center protein (PSII 43 kDa protein) (Protein CP-43)	psbC	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), malvids (clade), Malvales (order), Malvaceae (family), Malvoideae (subfamily), Gossypium (genus)	Gossypium barbadense (Sea-island cotton) (Egyptian cotton)	3634		psbC
A0ZZ34	PSAB_GOSBA	Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PSI-B) (PsaB)	psaB	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), malvids (clade), Malvales (order), Malvaceae (family), Malvoideae (subfamily), Gossypium (genus)	Gossypium barbadense (Sea-island cotton) (Egyptian cotton)	3634		psaB
A0ZZ35	PSAA_GOSBA	Photosystem I P700 chlorophyll a apoprotein A1 (EC 1.97.1.12) (PSI-A) (PsaA)	psaA	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), malvids (clade), Malvales (order), Malvaceae (family), Malvoideae (subfamily), Gossypium (genus)	Gossypium barbadense (Sea-island cotton) (Egyptian cotton)	3634		psaA
A1E9J0	PSAB_HORVU	Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PSI-B) (PsaB)	psaB	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Liliopsida (clade), Petrosaviidae (subclass), commelinids (clade), Poales (order), Poaceae (family), BOP clade (clade), Pooideae (subfamily), Triticodae (no rank), Triticeae (tribe), Hordeinae (subtribe), Hordeum (genus)	Hordeum vulgare (Barley)	4513		psaB
A1E9J1	PSAA_HORVU	Photosystem I P700 chlorophyll a apoprotein A1 (EC 1.97.1.12) (PSI-A) (PsaA)	psaA	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Liliopsida (clade), Petrosaviidae (subclass), commelinids (clade), Poales (order), Poaceae (family), BOP clade (clade), Pooideae (subfamily), Triticodae (no rank), Triticeae (tribe), Hordeinae (subtribe), Hordeum (genus)	Hordeum vulgare (Barley)	4513		psaA
A1E9Q9	PSBD_SORBI	Photosystem II D2 protein (PSII D2 protein) (EC 1.10.3.9) (Photosystem Q(A) protein)	psbD	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Liliopsida (clade), Petrosaviidae (subclass), commelinids (clade), Poales (order), Poaceae (family), PACMAD clade (clade), Panicoideae (subfamily), Andropogonodae (no rank), Andropogoneae (tribe), Sorghinae (subtribe), Sorghum (genus)	Sorghum bicolor (Sorghum) (Sorghum vulgare)	4558		psbD
A1E9R0	PSBC_SORBI	Photosystem II CP43 reaction center protein (PSII 43 kDa protein) (Protein CP-43)	psbC	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Liliopsida (clade), Petrosaviidae (subclass), commelinids (clade), Poales (order), Poaceae (family), PACMAD clade (clade), Panicoideae (subfamily), Andropogonodae (no rank), Andropogoneae (tribe), Sorghinae (subtribe), Sorghum (genus)	Sorghum bicolor (Sorghum) (Sorghum vulgare)	4558		psbC
A1E9S3	PSAB_SORBI	Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PSI-B) (PsaB)	psaB	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Liliopsida (clade), Petrosaviidae (subclass), commelinids (clade), Poales (order), Poaceae (family), PACMAD clade (clade), Panicoideae (subfamily), Andropogonodae (no rank), Andropogoneae (tribe), Sorghinae (subtribe), Sorghum (genus)	Sorghum bicolor (Sorghum) (Sorghum vulgare)	4558		psaB
A1E9Z3	PSBD_AGRST	Photosystem II D2 protein (PSII D2 protein) (EC 1.10.3.9) (Photosystem Q(A) protein)	psbD	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Liliopsida (clade), Petrosaviidae (subclass), commelinids (clade), Poales (order), Poaceae (family), BOP clade (clade), Pooideae (subfamily), Poodae (no rank), Poeae (tribe), Poeae Chloroplast Group 1 (Aveneae type) (clade), Agrostidodinae (clade), Agrostidinae (subtribe), Agrostis (genus)	Agrostis stolonifera (Creeping bentgrass)	63632		psbD
A1E9Z4	PSBC_AGRST	Photosystem II CP43 reaction center protein (PSII 43 kDa protein) (Protein CP-43)	psbC	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Liliopsida (clade), Petrosaviidae (subclass), commelinids (clade), Poales (order), Poaceae (family), BOP clade (clade), Pooideae (subfamily), Poodae (no rank), Poeae (tribe), Poeae Chloroplast Group 1 (Aveneae type) (clade), Agrostidodinae (clade), Agrostidinae (subtribe), Agrostis (genus)	Agrostis stolonifera (Creeping bentgrass)	63632		psbC
A1EA07	PSAB_AGRST	Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PSI-B) (PsaB)	psaB	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Liliopsida (clade), Petrosaviidae (subclass), commelinids (clade), Poales (order), Poaceae (family), BOP clade (clade), Pooideae (subfamily), Poodae (no rank), Poeae (tribe), Poeae Chloroplast Group 1 (Aveneae type) (clade), Agrostidodinae (clade), Agrostidinae (subtribe), Agrostis (genus)	Agrostis stolonifera (Creeping bentgrass)	63632		psaB
A1EA08	PSAA_AGRST	Photosystem I P700 chlorophyll a apoprotein A1 (EC 1.97.1.12) (PSI-A) (PsaA)	psaA	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Liliopsida (clade), Petrosaviidae (subclass), commelinids (clade), Poales (order), Poaceae (family), BOP clade (clade), Pooideae (subfamily), Poodae (no rank), Poeae (tribe), Poeae Chloroplast Group 1 (Aveneae type) (clade), Agrostidodinae (clade), Agrostidinae (subtribe), Agrostis (genus)	Agrostis stolonifera (Creeping bentgrass)	63632		psaA
A1XFV1	PSBC_NUPAD	Photosystem II CP43 reaction center protein (PSII 43 kDa protein) (Protein CP-43)	psbC	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Nymphaeales (order), Nymphaeaceae (family), Nuphar (genus)	Nuphar advena (Common spatterdock) (Nuphar lutea subsp. advena)	77108		psbC
A2BT99	PSAB_PROMS	Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PsaB)	psaB A9601_17271	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Synechococcales (order), Prochlorococcaceae (family), Prochlorococcus (genus), Prochlorococcus marinus (species)	Prochlorococcus marinus (strain AS9601)	146891		psaB
A2BTA0	PSAA_PROMS	Photosystem I P700 chlorophyll a apoprotein A1 (EC 1.97.1.12) (PsaA)	psaA A9601_17281	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Synechococcales (order), Prochlorococcaceae (family), Prochlorococcus (genus), Prochlorococcus marinus (species)	Prochlorococcus marinus (strain AS9601)	146891		psaA
A2BYP8	PSAB_PROM5	Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PsaB)	psaB P9515_17021	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Synechococcales (order), Prochlorococcaceae (family), Prochlorococcus (genus), Prochlorococcus marinus (species)	Prochlorococcus marinus (strain MIT 9515)	167542		psaB
A2BYP9	PSAA_PROM5	Photosystem I P700 chlorophyll a apoprotein A1 (EC 1.97.1.12) (PsaA)	psaA P9515_17031	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Synechococcales (order), Prochlorococcaceae (family), Prochlorococcus (genus), Prochlorococcus marinus (species)	Prochlorococcus marinus (strain MIT 9515)	167542		psaA
A2C4V3	PSAA_PROM1	Photosystem I P700 chlorophyll a apoprotein A1 (EC 1.97.1.12) (PsaA)	psaA NATL1_19571	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Synechococcales (order), Prochlorococcaceae (family), Prochlorococcus (genus), Prochlorococcus marinus (species)	Prochlorococcus marinus (strain NATL1A)	167555		psaA
A2C4V4	PSAB_PROM1	Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PsaB)	psaB NATL1_19581	cellular organisms (no rank), Bacteria (superkingdom), Terrabacteria group (clade), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Synechococcales (order), Prochlorococcaceae (family), Prochlorococcus (genus), Prochlorococcus marinus (species)	Prochlorococcus marinus (strain NATL1A)	167555		psaB
